genes_id,molecules_id
dd0064ae-cc21-40c7-8a6f-5726289dce01,6d563315-e168-46a0-aadc-622bd9a01e08
4b469cdb-f434-40bd-a48b-d7eb2da8fab3,7f3aacff-9b21-48b8-b0af-55f72e6a56c1
22fc49e9-8d5b-4bd1-bed5-609644887d5a,3a515acd-8342-4da1-9a16-16ea694912b1
d7b0a1e2-4f0e-4021-9b4b-53be92cebc57,b8b8f1aa-c36c-4154-809f-212ca39bd2c6
21836e47-6605-4fe1-8a24-c16d85f682a8,d75b11e6-d802-4c12-97f8-7104e0842c52
4000024e-a206-4366-9ebd-2e70bd10ceed,335c40b1-898d-485b-b25b-e71841fddbee
f63ed39c-ca20-4119-b69d-cfd09ccbec23,491c648b-8cfa-4a54-9730-473a260a8a31
5b7583e5-6cf5-48b9-afbd-5648a49e569c,683f8225-d804-4184-a5c2-9423ad5d4c00
dd0064ae-cc21-40c7-8a6f-5726289dce01,647c0df4-a242-4470-8f2b-4e63973948ca
9daf383a-364b-4fd5-8c8d-6fb55d6ca9db,f1a521ea-516f-4d04-a024-34357ca596fc
6038b779-310b-43cb-ab03-cad74c899144,d9e4c083-260f-4e6f-aa4d-c25ac81d5f5e
75c70133-ab94-4329-a066-75468054469d,132f5404-7d18-4c65-9bc7-c802dbcf8d43
3194c402-fe1b-4f68-8a3b-53fa23303b5c,891c2f0d-2d75-44bb-aa01-74cb44823d41
6ca130e0-ee8b-4f97-a84f-a9f573f6f525,cdd46cbf-1f20-4033-87ee-21cdb1b39c45
51a19c3c-6470-42ae-a39f-d774cd97a353,0c3fdecb-527c-4fd8-ad13-84e348a46f93
e01881ac-ca51-46ee-9ec2-0fc0fe5319e5,cc9243a5-cc99-4bf2-ac21-e1610921842b
dd0064ae-cc21-40c7-8a6f-5726289dce01,c9175a16-7720-4b34-b9e3-9c298b42a74e
95cb76fe-99fa-4f88-97ae-649d12497702,0c3fdecb-527c-4fd8-ad13-84e348a46f93
f7016095-5a61-4828-af8f-f2ae0a7d90cd,0b9f005b-0032-4fc8-9114-dbdf543fe91c
a3dcad99-87c9-4ebc-b6bb-be735f19a284,044cd3f6-cfcd-4e79-b936-54a28dec9bfd
1e7525fa-2186-4c43-a84e-dc87d69eeace,ca53fc36-a8af-4d86-b3e4-121ad39266d1
37fe22c0-dab1-4695-b5c6-d57be839afa4,0450215a-fd22-40e2-9c64-7885f6f1b9b5
96083778-2e1c-4fec-b3dd-830cbf1569b0,88786883-2795-4b3b-9add-ea22a3c142d8
86e53fc8-fb8e-4318-b4d1-ad1d82fea8a0,cc768891-1735-4647-aa8b-62d6b62304f7
5b7583e5-6cf5-48b9-afbd-5648a49e569c,8f874240-7a90-4c30-894b-740299aa47c2
